a = 2, b = 2, n = 1000, Motif_Counting_second_paper = 99.0% (3sec), Expansion_algorithm = 52.0% (1sec), Spectral_k_means = 50.0% (1sec), 
a = 3, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (4sec), Expansion_algorithm = 51.0% (1sec), Spectral_k_means = 50.0% (1sec), 
a = 4, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (5sec), Expansion_algorithm = 51.0% (2sec), Spectral_k_means = 50.0% (1sec), 
a = 5, b = 2, n = 1000, Motif_Counting_second_paper = 99.0% (7sec), Expansion_algorithm = 54.0% (4sec), Spectral_k_means = 50.0% (1sec), 
a = 6, b = 2, n = 1000, Motif_Counting_second_paper = 97.0% (8sec), Expansion_algorithm = 56.0% (7sec), Spectral_k_means = 74.0% (3sec), 
a = 7, b = 2, n = 1000, Motif_Counting_second_paper = 91.0% (9sec), Expansion_algorithm = 64.0% (13sec), Spectral_k_means = 87.0% (5sec), 
a = 8, b = 2, n = 1000, Motif_Counting_second_paper = 72.0% (11sec), Expansion_algorithm = 83.0% (14sec), Spectral_k_means = 89.0% (4sec), 
a = 9, b = 2, n = 1000, Motif_Counting_second_paper = 78.0% (13sec), Expansion_algorithm = 94.0% (10sec), Spectral_k_means = 96.0% (4sec), 
a = 10, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (16sec), Expansion_algorithm = 99.0% (11sec), Spectral_k_means = 98.0% (4sec), 
a = 11, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (18sec), Expansion_algorithm = 100.0% (13sec), Spectral_k_means = 97.0% (4sec), 
a = 12, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (19sec), Expansion_algorithm = 100.0% (16sec), Spectral_k_means = 100.0% (4sec), 
a = 13, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (22sec), Expansion_algorithm = 100.0% (18sec), Spectral_k_means = 100.0% (4sec), 
a = 14, b = 2, n = 1000, Motif_Counting_second_paper = 100.0% (24sec), Expansion_algorithm = 100.0% (21sec), Spectral_k_means = 98.0% (5sec), 
a = 5, b = 5, n = 1000, Motif_Counting_second_paper = 52.0% (12sec), Expansion_algorithm = 51.0% (3sec), Spectral_k_means = 50.0% (2sec), 
a = 6, b = 5, n = 1000, Motif_Counting_second_paper = 53.0% (14sec), Expansion_algorithm = 51.0% (3sec), Spectral_k_means = 50.0% (2sec), 
a = 7, b = 5, n = 1000, Motif_Counting_second_paper = 53.0% (16sec), Expansion_algorithm = 51.0% (3sec), Spectral_k_means = 57.0% (3sec), 
a = 8, b = 5, n = 1000, Motif_Counting_second_paper = 51.0% (18sec), Expansion_algorithm = 52.0% (5sec), Spectral_k_means = 96.0% (4sec), 
a = 9, b = 5, n = 1000, Motif_Counting_second_paper = 61.0% (20sec), Expansion_algorithm = 53.0% (7sec), Spectral_k_means = 88.0% (5sec), 
a = 10, b = 5, n = 1000, Motif_Counting_second_paper = 90.0% (23sec), Expansion_algorithm = 55.0% (12sec), Spectral_k_means = 95.0% (5sec), 
a = 11, b = 5, n = 1000, Motif_Counting_second_paper = 93.0% (25sec), Expansion_algorithm = 61.0% (20sec), Spectral_k_means = 97.0% (5sec), 
a = 12, b = 5, n = 1000, Motif_Counting_second_paper = 93.0% (27sec), Expansion_algorithm = 70.0% (32sec), Spectral_k_means = 100.0% (5sec), 
a = 13, b = 5, n = 1000, Motif_Counting_second_paper = 93.0% (30sec), Expansion_algorithm = 89.0% (35sec), Spectral_k_means = 100.0% (5sec), 
a = 14, b = 5, n = 1000, Motif_Counting_second_paper = 97.0% (32sec), Expansion_algorithm = 99.0% (21sec), Spectral_k_means = 100.0% (5sec), 
a = 15, b = 5, n = 1000, Motif_Counting_second_paper = 98.0% (34sec), Expansion_algorithm = 100.0% (15sec), Spectral_k_means = 100.0% (5sec), 
a = 16, b = 5, n = 1000, Motif_Counting_second_paper = 100.0% (37sec), Expansion_algorithm = 100.0% (16sec), Spectral_k_means = 98.0% (6sec), 
a = 17, b = 5, n = 1000, Motif_Counting_second_paper = 100.0% (41sec), Expansion_algorithm = 99.0% (18sec), Spectral_k_means = 100.0% (6sec), 
a = 18, b = 5, n = 1000, Motif_Counting_second_paper = 100.0% (44sec), Expansion_algorithm = 100.0% (20sec), Spectral_k_means = 100.0% (5sec), 
a = 19, b = 5, n = 1000, Motif_Counting_second_paper = 100.0% (46sec), Expansion_algorithm = 100.0% (21sec), Spectral_k_means = 100.0% (6sec), 
a = 20, b = 5, n = 1000, Motif_Counting_second_paper = 100.0% (50sec), Expansion_algorithm = 100.0% (23sec), Spectral_k_means = 98.0% (7sec), 
a = 10, b = 10, n = 1000, Motif_Counting_second_paper = 51.0% (37sec), Expansion_algorithm = 51.0% (6sec), Spectral_k_means = 50.0% (5sec), 
a = 11, b = 10, n = 1000, Motif_Counting_second_paper = 52.0% (40sec), Expansion_algorithm = 51.0% (6sec), Spectral_k_means = 52.0% (9sec), 
a = 12, b = 10, n = 1000, Motif_Counting_second_paper = 51.0% (45sec), Expansion_algorithm = 51.0% (6sec), Spectral_k_means = 53.0% (11sec), 
a = 13, b = 10, n = 1000, Motif_Counting_second_paper = 52.0% (47sec), Expansion_algorithm = 52.0% (7sec), Spectral_k_means = 98.0% (7sec), 
a = 14, b = 10, n = 1000, Motif_Counting_second_paper = 60.0% (51sec), Expansion_algorithm = 52.0% (9sec), Spectral_k_means = 98.0% (7sec), 
a = 15, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (54sec), Expansion_algorithm = 53.0% (12sec), Spectral_k_means = 100.0% (7sec), 
a = 16, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (57sec), Expansion_algorithm = 55.0% (18sec), Spectral_k_means = 100.0% (8sec), 
a = 17, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (63sec), Expansion_algorithm = 59.0% (30sec), Spectral_k_means = 100.0% (8sec), 
a = 18, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (63sec), Expansion_algorithm = 60.0% (37sec), Spectral_k_means = 100.0% (7sec), 
a = 19, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (67sec), Expansion_algorithm = 72.0% (62sec), Spectral_k_means = 100.0% (8sec), 
a = 20, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (70sec), Expansion_algorithm = 84.0% (62sec), Spectral_k_means = 98.0% (8sec), 
a = 21, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (75sec), Expansion_algorithm = 93.0% (45sec), Spectral_k_means = 100.0% (8sec), 
a = 22, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (77sec), Expansion_algorithm = 100.0% (22sec), Spectral_k_means = 100.0% (8sec), 
a = 23, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (81sec), Expansion_algorithm = 100.0% (25sec), Spectral_k_means = 100.0% (7sec), 
a = 24, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (85sec), Expansion_algorithm = 100.0% (25sec), Spectral_k_means = 100.0% (7sec), 
a = 25, b = 10, n = 1000, Motif_Counting_second_paper = 100.0% (89sec), Expansion_algorithm = 100.0% (27sec), Spectral_k_means = 93.0% (8sec), 
a = 20, b = 20, n = 1000, Motif_Counting_second_paper = 51.0% (116sec), Expansion_algorithm = 51.0% (12sec), Spectral_k_means = 51.0% (17sec), 
a = 21, b = 20, n = 1000, Motif_Counting_second_paper = 52.0% (123sec), Expansion_algorithm = 51.0% (13sec), Spectral_k_means = 51.0% (19sec), 
a = 22, b = 20, n = 1000, Motif_Counting_second_paper = 51.0% (130sec), Expansion_algorithm = 51.0% (13sec), Spectral_k_means = 52.0% (20sec), 
a = 23, b = 20, n = 1000, Motif_Counting_second_paper = 52.0% (141sec), Expansion_algorithm = 51.0% (14sec), Spectral_k_means = 57.0% (19sec), 
a = 24, b = 20, n = 1000, Motif_Counting_second_paper = 52.0% (147sec), Expansion_algorithm = 52.0% (15sec), Spectral_k_means = 90.0% (14sec), 
a = 25, b = 20, n = 1000, Motif_Counting_second_paper = 52.0% (158sec), Expansion_algorithm = 51.0% (16sec), Spectral_k_means = 100.0% (9sec), 
a = 26, b = 20, n = 1000, Motif_Counting_second_paper = 52.0% (167sec), Expansion_algorithm = 53.0% (22sec), Spectral_k_means = 100.0% (11sec), 
a = 27, b = 20, n = 1000, Motif_Counting_second_paper = 52.0% (176sec), Expansion_algorithm = 53.0% (23sec), Spectral_k_means = 100.0% (11sec), 
a = 28, b = 20, n = 1000, Motif_Counting_second_paper = 59.0% (184sec), Expansion_algorithm = 55.0% (35sec), Spectral_k_means = 100.0% (11sec), 
a = 29, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (191sec), Expansion_algorithm = 59.0% (53sec), Spectral_k_means = 100.0% (12sec), 
a = 30, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (199sec), Expansion_algorithm = 66.0% (82sec), Spectral_k_means = 100.0% (13sec), 
a = 31, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (206sec), Expansion_algorithm = 71.0% (118sec), Spectral_k_means = 100.0% (13sec), 
a = 32, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (213sec), Expansion_algorithm = 78.0% (130sec), Spectral_k_means = 100.0% (14sec), 
a = 33, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (220sec), Expansion_algorithm = 88.0% (121sec), Spectral_k_means = 98.0% (14sec), 
a = 34, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (227sec), Expansion_algorithm = 95.0% (77sec), Spectral_k_means = 100.0% (13sec), 
a = 35, b = 20, n = 1000, Motif_Counting_second_paper = 100.0% (233sec), Expansion_algorithm = 99.0% (54sec), Spectral_k_means = 100.0% (13sec), 
a = 2, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (8sec), Expansion_algorithm = 51.0% (2sec), Spectral_k_means = 50.0% (3sec), 
a = 3, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (10sec), Expansion_algorithm = 51.0% (3sec), Spectral_k_means = 50.0% (3sec), 
a = 4, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (13sec), Expansion_algorithm = 51.0% (4sec), Spectral_k_means = 50.0% (3sec), 
a = 5, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (15sec), Expansion_algorithm = 52.0% (7sec), Spectral_k_means = 50.0% (4sec), 
a = 6, b = 2, n = 2000, Motif_Counting_second_paper = 99.0% (19sec), Expansion_algorithm = 55.0% (13sec), Spectral_k_means = 63.0% (9sec), 
a = 7, b = 2, n = 2000, Motif_Counting_second_paper = 94.0% (22sec), Expansion_algorithm = 60.0% (24sec), Spectral_k_means = 75.0% (11sec), 
a = 8, b = 2, n = 2000, Motif_Counting_second_paper = 77.0% (27sec), Expansion_algorithm = 83.0% (42sec), Spectral_k_means = 80.0% (10sec), 
a = 9, b = 2, n = 2000, Motif_Counting_second_paper = 88.0% (37sec), Expansion_algorithm = 96.0% (25sec), Spectral_k_means = 73.0% (11sec), 
a = 10, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (42sec), Expansion_algorithm = 100.0% (25sec), Spectral_k_means = 93.0% (9sec), 
a = 11, b = 2, n = 2000, Motif_Counting_second_paper = 98.0% (42sec), Expansion_algorithm = 100.0% (30sec), Spectral_k_means = 95.0% (9sec), 
a = 12, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (48sec), Expansion_algorithm = 100.0% (35sec), Spectral_k_means = 91.0% (9sec), 
a = 13, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (52sec), Expansion_algorithm = 100.0% (39sec), Spectral_k_means = 100.0% (8sec), 
a = 14, b = 2, n = 2000, Motif_Counting_second_paper = 100.0% (58sec), Expansion_algorithm = 100.0% (45sec), Spectral_k_means = 98.0% (10sec), 
a = 5, b = 5, n = 2000, Motif_Counting_second_paper = 52.0% (27sec), Expansion_algorithm = 51.0% (6sec), Spectral_k_means = 50.0% (5sec), 
a = 6, b = 5, n = 2000, Motif_Counting_second_paper = 52.0% (32sec), Expansion_algorithm = 51.0% (7sec), Spectral_k_means = 50.0% (6sec), 
a = 7, b = 5, n = 2000, Motif_Counting_second_paper = 54.0% (39sec), Expansion_algorithm = 51.0% (7sec), Spectral_k_means = 57.0% (10sec), 
a = 8, b = 5, n = 2000, Motif_Counting_second_paper = 53.0% (44sec), Expansion_algorithm = 51.0% (9sec), Spectral_k_means = 90.0% (13sec), 
a = 9, b = 5, n = 2000, Motif_Counting_second_paper = 58.0% (49sec), Expansion_algorithm = 52.0% (13sec), Spectral_k_means = 90.0% (14sec), 
a = 10, b = 5, n = 2000, Motif_Counting_second_paper = 85.0% (54sec), Expansion_algorithm = 53.0% (21sec), Spectral_k_means = 90.0% (13sec), 
a = 11, b = 5, n = 2000, Motif_Counting_second_paper = 88.0% (60sec), Expansion_algorithm = 57.0% (33sec), Spectral_k_means = 86.0% (11sec), 
a = 12, b = 5, n = 2000, Motif_Counting_second_paper = 93.0% (65sec), Expansion_algorithm = 65.0% (58sec), Spectral_k_means = 94.0% (12sec), 
a = 13, b = 5, n = 2000, Motif_Counting_second_paper = 95.0% (72sec), Expansion_algorithm = 83.0% (94sec), Spectral_k_means = 96.0% (12sec), 
a = 14, b = 5, n = 2000, Motif_Counting_second_paper = 95.0% (78sec), Expansion_algorithm = 97.0% (55sec), Spectral_k_means = 97.0% (12sec), 
a = 15, b = 5, n = 2000, Motif_Counting_second_paper = 100.0% (84sec), Expansion_algorithm = 100.0% (35sec), Spectral_k_means = 96.0% (13sec), 
a = 16, b = 5, n = 2000, Motif_Counting_second_paper = 100.0% (91sec), Expansion_algorithm = 100.0% (36sec), Spectral_k_means = 100.0% (12sec), 
a = 17, b = 5, n = 2000, Motif_Counting_second_paper = 100.0% (97sec), Expansion_algorithm = 100.0% (39sec), Spectral_k_means = 100.0% (14sec), 
a = 18, b = 5, n = 2000, Motif_Counting_second_paper = 100.0% (105sec), Expansion_algorithm = 100.0% (42sec), Spectral_k_means = 100.0% (13sec), 
a = 19, b = 5, n = 2000, Motif_Counting_second_paper = 100.0% (112sec), Expansion_algorithm = 100.0% (46sec), Spectral_k_means = 100.0% (14sec), 
a = 20, b = 5, n = 2000, Motif_Counting_second_paper = 100.0% (122sec), Expansion_algorithm = 100.0% (50sec), Spectral_k_means = 100.0% (15sec), 
a = 10, b = 10, n = 2000, Motif_Counting_second_paper = 51.0% (89sec), Expansion_algorithm = 51.0% (13sec), Spectral_k_means = 50.0% (9sec), 
a = 11, b = 10, n = 2000, Motif_Counting_second_paper = 51.0% (97sec), Expansion_algorithm = 51.0% (14sec), Spectral_k_means = 51.0% (18sec), 
a = 12, b = 10, n = 2000, Motif_Counting_second_paper = 51.0% (105sec), Expansion_algorithm = 51.0% (15sec), Spectral_k_means = 57.0% (30sec), 
a = 13, b = 10, n = 2000, Motif_Counting_second_paper = 51.0% (114sec), Expansion_algorithm = 51.0% (16sec), Spectral_k_means = 98.0% (18sec), 
a = 14, b = 10, n = 2000, Motif_Counting_second_paper = 51.0% (122sec), Expansion_algorithm = 51.0% (20sec), Spectral_k_means = 100.0% (15sec), 
a = 15, b = 10, n = 2000, Motif_Counting_second_paper = 64.0% (134sec), Expansion_algorithm = 52.0% (27sec), Spectral_k_means = 100.0% (14sec), 
a = 16, b = 10, n = 2000, Motif_Counting_second_paper = 100.0% (140sec), Expansion_algorithm = 54.0% (37sec), Spectral_k_means = 100.0% (16sec), 
a = 17, b = 10, n = 2000, Motif_Counting_second_paper = 100.0% (150sec), Expansion_algorithm = 57.0% (59sec), Spectral_k_means = 100.0% (17sec), 
a = 18, b = 10, n = 2000, Motif_Counting_second_paper = 100.0% (158sec), Expansion_algorithm = 61.0% (78sec), Spectral_k_means = 100.0% (15sec), 
a = 19, b = 10, n = 2000, Motif_Counting_second_paper = 100.0% (167sec), Expansion_algorithm = 69.0% (119sec), Spectral_k_means = 100.0% (18sec), 
a = 20, b = 10, n = 2000, Motif_Counting_second_paper = 100.0% (176sec), Expansion_algorithm = 78.0% (159sec), Spectral_k_means = 100.0% (17sec), 
