a = 7, b = 5, n = 1000, Motif_Counting = 50.0% (13sec), Motif_Counting_second_paper = 50.0% (11sec), Expansion_algorithm = 51.0% (2sec), Spectral_k_means = 58.0% (2sec), 
a = 8, b = 5, n = 1000, Motif_Counting = 51.0% (14sec), Motif_Counting_second_paper = 50.0% (13sec), Expansion_algorithm = 51.0% (3sec), Spectral_k_means = 96.0% (2sec), 
a = 9, b = 5, n = 1000, Motif_Counting = 50.0% (17sec), Motif_Counting_second_paper = 54.0% (15sec), Expansion_algorithm = 52.0% (5sec), Spectral_k_means = 95.0% (3sec), 
a = 10, b = 5, n = 1000, Motif_Counting = 50.0% (17sec), Motif_Counting_second_paper = 85.0% (16sec), Expansion_algorithm = 54.0% (7sec), Spectral_k_means = 100.0% (3sec), 
a = 11, b = 5, n = 1000, Motif_Counting = 50.0% (18sec), Motif_Counting_second_paper = 90.0% (17sec), Expansion_algorithm = 60.0% (13sec), Spectral_k_means = 100.0% (3sec), 
a = 12, b = 5, n = 1000, Motif_Counting = 50.0% (20sec), Motif_Counting_second_paper = 95.0% (19sec), Expansion_algorithm = 69.0% (19sec), Spectral_k_means = 100.0% (3sec), 
a = 13, b = 5, n = 1000, Motif_Counting = 50.0% (22sec), Motif_Counting_second_paper = 100.0% (21sec), Expansion_algorithm = 91.0% (28sec), Spectral_k_means = 100.0% (3sec), 
a = 14, b = 5, n = 1000, Motif_Counting = 50.0% (23sec), Motif_Counting_second_paper = 95.0% (22sec), Expansion_algorithm = 94.0% (12sec), Spectral_k_means = 100.0% (3sec), 
a = 15, b = 5, n = 1000, Motif_Counting = 50.0% (27sec), Motif_Counting_second_paper = 100.0% (25sec), Expansion_algorithm = 100.0% (8sec), Spectral_k_means = 100.0% (3sec), 
a = 16, b = 5, n = 1000, Motif_Counting = 50.0% (28sec), Motif_Counting_second_paper = 98.0% (27sec), Expansion_algorithm = 98.0% (8sec), Spectral_k_means = 100.0% (4sec), 
a = 17, b = 5, n = 1000, Motif_Counting = 50.0% (31sec), Motif_Counting_second_paper = 100.0% (30sec), Expansion_algorithm = 100.0% (9sec), Spectral_k_means = 100.0% (4sec), 
a = 20, b = 7, n = 1000, Motif_Counting = 50.0% (42sec), Motif_Counting_second_paper = 100.0% (39sec), Expansion_algorithm = 100.0% (10sec), Spectral_k_means = 100.0% (4sec), 
a = 21, b = 7, n = 1000, Motif_Counting = 50.0% (44sec), Motif_Counting_second_paper = 100.0% (43sec), Expansion_algorithm = 100.0% (11sec), Spectral_k_means = 100.0% (4sec), 
a = 22, b = 7, n = 1000, Motif_Counting = 55.0% (45sec), Motif_Counting_second_paper = 100.0% (44sec), Expansion_algorithm = 100.0% (12sec), Spectral_k_means = 100.0% (5sec), 
a = 23, b = 7, n = 1000, Motif_Counting = 50.0% (50sec), Motif_Counting_second_paper = 100.0% (51sec), Expansion_algorithm = 100.0% (14sec), Spectral_k_means = 95.0% (5sec), 
a = 24, b = 7, n = 1000, Motif_Counting = 60.0% (54sec), Motif_Counting_second_paper = 100.0% (53sec), Expansion_algorithm = 100.0% (14sec), Spectral_k_means = 96.0% (5sec), 
a = 25, b = 7, n = 1000, Motif_Counting = 85.0% (55sec), Motif_Counting_second_paper = 100.0% (53sec), Expansion_algorithm = 100.0% (14sec), Spectral_k_means = 100.0% (4sec), 
a = 26, b = 7, n = 1000, Motif_Counting = 95.0% (57sec), Motif_Counting_second_paper = 100.0% (56sec), Expansion_algorithm = 100.0% (15sec), Spectral_k_means = 100.0% (5sec), 
